id,pn,num,company_name,aog_status,create_time,PNR_ID
63180,572756-1,1.0,中州航空有限责任公司,Confirm,2022-08-12 21:52:02,21-5X-28
63182,641172-1,1.0,中州航空有限责任公司,Confirm,2022-08-12 21:52:02,21-5X-30
63371,4063-19972-01AA,1.0,中国邮政航空有限责任公司,Confirm,2022-08-14 07:25:36,21-3x-03
63417,1019439-2-001,1.0,苏南瑞丽航空有限公司,Done,2022-08-14 13:34:54,21-3X-01
63904,162BL903,1.0,昆明航空有限公司,Done,2022-08-16 17:21:39,21-6X-07
63907,3290206-1,1.0,山东航空股份有限公司,Confirm,2022-08-16 17:39:58,21-5X-36
63976,2215240-3,1.0,深圳航空有限责任公司,Confirm,2022-08-17 10:03:27,21-5X-04
64486,3202444-1,1.0,深圳航空有限责任公司,Confirm,2022-08-19 15:54:24,21-6X-17
64546,541674-4,1.0,厦门航空有限公司,Done,2022-08-20 03:06:10,21-5X-11
64546,541674-4,1.0,厦门航空有限公司,Done,2022-08-20 03:06:10,21-5X-40
64616,7121-19971-01AB,1.0,中原龙浩航空有限公司,Done,2022-08-20 16:47:52,21-3x-02
64756,398116-1-1,1.0,苏南瑞丽航空有限公司,Confirm,2022-08-21 21:33:50,21-6X-22
64783,3290206-1,1.0,中国邮政航空有限责任公司,Done,2022-08-22 07:56:52,21-5X-36
66174,398908-3,1.0,山东航空股份有限公司,Done,2022-08-29 16:45:14,21-5X-35
66174,398908-3,1.0,山东航空股份有限公司,Done,2022-08-29 16:45:14,21-6X-19
66189,398908-5,1.0,山东航空股份有限公司,Done,2022-08-29 17:54:54,21-5X-35
66189,398908-5,1.0,山东航空股份有限公司,Done,2022-08-29 17:54:54,21-6X-19
66357,21933-01AC,1.0,山东航空股份有限公司,Confirm,2022-08-30 15:17:46,21-3x-02
67117,69-2914-24,1.0,厦门航空有限公司,Done,2022-09-04 14:35:08,21-2x-01-A
67734,3214972-1,1.0,奥凯航空有限公司,Done,2022-09-07 15:37:24,21-6X-18
67914,63396754-2,1.0,山东航空股份有限公司,Confirm,2022-09-08 16:05:33,21-5X-03
67948,67600014-1,1.0,山东航空股份有限公司,Done,2022-09-08 20:09:27,21-5X-11
67948,67600014-1,1.0,山东航空股份有限公司,Done,2022-09-08 20:09:27,21-5X-40
67975,67600014-1,1.0,厦门航空有限公司,Confirm,2022-09-09 00:02:31,21-5X-11
67975,67600014-1,1.0,厦门航空有限公司,Confirm,2022-09-09 00:02:31,21-5X-40
68078,7121-19971-01AC,1.0,天津货运航空有限公司,Done,2022-09-09 13:33:24,21-3x-02
68365,2215280-1,1.0,昆明航空有限公司,Done,2022-09-11 20:44:29,21-5X-04
68409,3290206-1,1.0,中国邮政航空有限责任公司,Done,2022-09-12 10:57:12,21-5X-36
