"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,2,"18KX77021",POW,CRT,"20180105","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,4,"18KX77063",POW,CRT,"20180124","0000008027",USD,B737NG,"572757-1",2668.46,10673.84
MU,2,"18GX78065",POW,CRT,"20180126","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,2,"18YX77143",POW,EXP,"20180521","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,2,"18GX78866",POW,EXP,"20180913","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,2,"18GX73622",POW,EXP,"20180920","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,1,"18GX73672",POW,EXP,"20181011","0000008027",USD,B737NG,"572757-1",2668.46,2668.46
MU,4,"18KX77826",POW,NOR,"20181018","0000008027",USD,B737NG,"572757-1",2668.46,10673.84
MU,4,"18KX77860",POW,NOR,"20181026","0000008027",USD,B737NG,"572757-1",2668.46,10673.84
MU,2,"18MX73356",POW,CRT,"20181113","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,2,"18GX79181",POW,EXP,"20181227","0000008027",USD,B737NG,"572757-1",2668.46,5336.92
MU,4,"1600027988",POW,EXP,"20190408","0000008027",USD,B737NG,"572757-1",2769.86,11079.44
MU,2,"1600031124",POW,EXP,"20190415","0000008027",USD,B737NG,"572757-1",2769.86,5539.72
MU,4,"1600032702",POW,CRT,"20190419","0000008027",USD,B737NG,"572757-1",2769.86,11079.44
MU,10,"1600053812",POW,CRT,"20190613","0000008027",USD,B737NG,"572757-1",2769.86,27698.6
MU,18,"1600057923",POW,CRT,"20190621","0000001640",USD,B737NG,"572757-1",2750,49500
MU,10,"1600084654",POW,CRT,"20190904","0000008027",USD,B737NG,"572757-1",2769.86,27698.6
MU,5,"1600086595",POW,CRT,"20190910","0000001640",USD,B737NG,"572757-1",2742,13710
MU,1,"7800000571",PON,CRT,"20151012","1000000004",RMB, ,"607518-2",25952.28,25952.28
MU,1,"7800000571",PON,CRT,"20151012","1000000004",RMB, ,"607518-2",3008.55,3008.55
MU,1,"11SG77094",POW,CRT,"20110809","0000003131",USD,B737NG,"607518-2",21772,21772
CA,1,"4010001963",POW, ,"20080819",OS81205001,USD, ,"617166-1",1415,1415
CA,2,"4010011390",POW, ,"20110329",OS96774001,USD, ,"617166-1",1622,3244
MU,2,"11KX73444",POW,EXP,"20110714","0000001347",USD,B737-300,"617166-1",1622,3244
MU,4,"12KX77420",POW,CRT,"20120604","0000001347",USD,B737NG,"617166-1",1803,7212
CA,3,"4010017095",POW,CRT,"20120813",OS70210001,USD, ,"617166-1",1803,5409
MU,2,"14GX78181",POW,EXP,"20140520","0000001347",USD,B737NG,"617166-1",1903.5,3807
MU,1,"14GX78333",POW,EXP,"20140818","0000003325",USD,B737NG,"617166-1",1575,1575
MU,1,"15GX78005",POW,EXP,"20150121","0000003325",USD,B737NG,"617166-1",1800,1800
MU,1,"15GX78327",POW,EXP,"20151125","0000001347",USD,B737NG,"617166-1",1970,1970
CA,2,"4010012387",POW, ,"20110601",CS00145,USD, ,"622814-5",63000,126000
CA,1,"4010015804",POW, ,"20120420",CS00006,USD, ,"622814-5",51045,51045
CA,1,"4010015874",POW, ,"20120424",CS00145,USD, ,"622814-5",52200,52200
CA,1,"4010020502",POW,NOR,"20130814",CS40429,USD, ,"622814-5",28500,28500
CA,2,"4020001076",PON, ,"20090417",CS201110,RMB, ,"622878-2",19792.5,39585
MU,1,"2100023808",PON,CRT,"20150423","1000000142",RMB,B737NG,"622878-2",39710.25,39710.25
MU,1,"11KX77619",POW,CRT,"20111109","0000001347",USD,B737NG,"622878-2",2209,2209
MU,1,"11KG78014",POW,EXP,"20111228","0000001347",USD,B737NG,"622878-2",2275,2275
