CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,4100010176,HQY,AOG,20180815,1000000004,RMB,B737NG,161A1100-39,141592.92,141592.92,20180827,20190319,204.0
MU,1,4100010331,HQY,AOG,20180917,1000000141,RMB,B737NG,67600014-1,1,1,20180918,20181108,51.0
MU,1,4100010305,HQY,AOG,20180911,1000000141,RMB,B737NG,69000940-102,1,1,20180912,20181119,68.0
MU,1,4100010447,HQY,CRT,20181014,1000000141,RMB,B737NG,182820-3,1,1,20181015,20181022,7.0
MU,1,4100010444,HQY,CRT,20181014,1000000155,RMB,B737NG,69-37369-300,1671.73,1671.73,20181015,20181022,7.0
MU,1,4100010449,HQY,AOG,20181015,1000000155,RMB,B737NG,20200-0312,6659.99,6659.99,20181016,20190118,94.0
MU,1,4100010314,HQY,AOG,20180913,1000000575,RMB,B737NG,2206400-2,29842.14,29842.14,20180913,20180919,6.0
MU,1,4100010361,HQY,AOG,20180923,1000000141,RMB,B737NG,822-1710-001,1,1,20180926,20181019,23.0
MU,1,4100010363,HQY,CRT,20180924,1000000141,RMB,B737NG,2061-15-1,1,1,20180925,20190318,174.0
MU,1,4100010461,HQY,AOG,20181017,1000000155,RMB,B737NG,20200-0309,5566.13,5566.13,20181018,20190114,88.0
MU,1,4100010421,HQY,AOG,20181007,1000000155,RMB,B737NG,2612312-1,11578.1,11578.1,20181008,20181017,9.0
MU,1,4100010462,HQY,CRT,20181018,1000000155,RMB,B737NG,C16786HA02,13987.02,13987.02,20181022,20181026,4.0
MU,1,4100010468,HQY,AOG,20181018,1000000155,RMB,B737NG,6355C0001-01,7976.64,7976.64,20181019,20181023,4.0
MU,1,4100010325,HQY,AOG,20180916,1000000141,RMB,B737NG,3215618-5,1,1,20180917,20180927,10.0
MU,1,18GW99862,HQY,CRT,20180918,0000003341,USD,B737NG,314-2200-11,4250,4250,20180919,20181017,28.0
MU,1,4100010333,HQY,AOG,20180917,1000000575,RMB,B737NG,67600014-1,17879.38,17879.38,20181010,20181010,1.0
MU,1,4100010485,HQY,AOG,20181023,1000000141,RMB,B737NG,D717-02-001,1,1,20181024,20181102,9.0
MU,1,4100010341,HQY,AOG,20180919,1000000575,RMB,B737NG,2061-15-1,55471.04,55471.04,20180926,20190215,142.0
MU,1,4100010336,HQY,AOG,20180919,1000000575,RMB,B737NG,285A1300-1,12816.13,12816.13,20180925,20181008,13.0
MU,1,4100010432,HQY,AOG,20181011,1000000155,RMB,B737NG,2061-15-1,52555.55,52555.55,20181012,20190220,131.0
MU,1,4100010506,HQY,AOG,20181101,1000000141,RMB,B737NG,1-002-0102-2090,1,1,20181108,20190403,146.0
MU,1,4100010531,HQY,CRT,20181103,1000000155,RMB,B737NG,2612312-1,13164.92,13164.92,20181108,20181111,3.0
MU,1,4100010576,HQY,AOG,20181114,1000000141,RMB,B737NG,305RAA1,1,1,20181114,20181126,12.0
MU,1,4100010544,HQY,AOG,20181106,1000000155,RMB,B737NG,30210,6688.55,6688.55,20181107,20181201,24.0
MU,1,4100010540,HQY,AOG,20181106,1000000155,RMB,B737NG,HG2050AC07,61519.53,61519.53,20181107,20181112,5.0
